City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
646,Sibolga,ID,84.87,heavy intensity rain,1.74,98.78,Hotel Syariah CN Darussalam
652,Lahat,ID,89.55,light rain,-3.8,103.53,Bukit Serelo Hotel
662,Kampot,KH,87.8,scattered clouds,10.62,104.18,Champa Lodge
666,Hue,VN,75.2,broken clouds,16.47,107.6,Saigon Morin Hotel
667,Gemena,CD,85.17,few clouds,3.25,19.77,Hôtel Goshen
671,Bentiu,SS,85.26,clear sky,9.23,29.83,Mandela hôtel
672,Cuamba,MZ,81.75,broken clouds,-14.8,36.54,Hotel Vision
689,Hobyo,SO,81.12,few clouds,5.35,48.53,Halane Hotel and Restaurent
693,Maroantsetra,MG,87.44,overcast clouds,-15.43,49.73,La Pagode
697,Qui Nhon,VN,77.45,clear sky,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
